,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
4665,43211,Africa,1-Apr-16,2016,Apr,2.0,,2,,,,,Vehicle Accident,"Sahara Desert, between Khartoum, Sudan and Libya",MHub,"19.643823700000, 24.429326800000",,,Northern Africa,2
4666,43212,Africa,1-Apr-16,2016,Apr,1.0,,1,,,,,Vehicle Accident,"Sahara Desert, between Khartoum, Sudan and Libya",MHub,"19.643823700000, 24.429326800000",,,Northern Africa,2
4667,43213,Africa,1-Apr-16,2016,Apr,1.0,,1,,,,,Dehydration,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub,"27.349939100000, 9.736672900000",,,Northern Africa,2
4668,43214,Africa,1-Apr-16,2016,Apr,1.0,,1,,,,,Dehydration,"Sahara Desert, Algeria",MHub,"27.790343000000, 0.767595600000",,,Northern Africa,2
4669,43215,Africa,1-Apr-16,2016,Apr,1.0,,1,,,,,Murder,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub,"27.349939100000, 9.736672900000",,,Northern Africa,2
4670,42407,Europe,31-Mar-16,2016,Mar,1.0,,1,,,1.0,,Vehicle Accident,"A16 near Calais, France",AFP,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/1MDtIX4,Western Europe,1
4671,42408,Mediterranean,31-Mar-16,2016,Mar,9.0,,9,127.0,,,,Drowning,"off the coast of Kafr el-Sheikh, Egypt",IOM Italy,"31.650930600000, 30.626169200000",Central Mediterranean,http://bit.ly/1MDVSRO,Uncategorized,4
4672,42475,Central America,31-Mar-16,2016,Mar,4.0,,4,,,,1.0,Vehicle Accident,"Huehuetenango, Guatemala",La Pagina,"15.317928900000, -91.497190300000",Central America to US,http://bit.ly/1RTmKwa,Central America,1
4673,42497,Central America,31-Mar-16,2016,Mar,1.0,,1,,,1.0,,Unknown,"Body found in orchard in Chahuites, Oaxhaca, Mexico",Red Noticias,"16.290750100000, -94.198666900000",Central America to US,http://bit.ly/1Uu8WuM,Central America,1
4674,43186,Africa,31-Mar-16,2016,Mar,1.0,,1,,,,,Extended Sickness,"Buale (Bu'ale), Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"1.134499800000, 42.466235200000",,,Eastern Africa,2
4675,43187,Africa,31-Mar-16,2016,Mar,1.0,,1,,,,,Extended Sickness,"Jilib , Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"0.493016100000, 42.772682900000",,,Eastern Africa,2
